Senate Vote #234 1995-06-05T18:04:00 - On the Amendment S.Amdt. 1202 to S.Amdt. 1199 to S. 735 (Antiterrorism and Effective Death Penalty Act of 1996)
person,state,district,vote,name,party
402004,AR,,Yea,"Sen. Dale Bumpers [D, 1975-1998]",Democrat
402412,RI,,Yea,"Sen. John Chafee [R, 1976-1999]",Republican
402675,IN,,Yea,"Sen. Daniel Coats [R, 1989-1998]",Republican
402727,ME,,Yea,"Sen. William Sebastian Cohen [R, 1979-1996]",Republican
403142,NY,,Yea,"Sen. Alfonse D’Amato [R, 1981-1998]",Republican
403515,KS,,Yea,"Sen. Robert Dole [R, 1969-1996]",Republican
403962,NE,,Yea,"Sen. James Exon [D, 1979-1996]",Democrat
403968,NC,,Not Voting,"Sen. Duncan “Lauch” Faircloth [R, 1993-1998]",Republican
404219,KY,,Yea,"Sen. Wendell Ford [D, 1974-1998]",Democrat
404598,OH,,Yea,"Sen. John Glenn [D, 1974-1998]",Democrat
405212,OR,,Not Voting,"Sen. Mark Hatfield [R, 1967-1996]",Republican
405310,AL,,Yea,"Sen. Howell Heflin [D, 1979-1996]",Democrat
406084,LA,,Yea,"Sen. John Bennett Johnston [D, 1972-1996]",Democrat
406188,KS,,Yea,"Sen. Nancy Kassebaum [R, 1978-1996]",Republican
406256,ID,,Yea,"Sen. Dirk Kempthorne [R, 1993-1998]",Republican
407992,IL,,Yea,"Sen. Carol Moseley Braun [D, 1993-1998]",Democrat
408252,GA,,Yea,"Sen. Samuel Nunn [D, 1972-1996]",Democrat
408420,OR,,Yea,"Sen. Robert Packwood [R, 1969-1995]",Republican
408597,RI,,Yea,"Sen. Claiborne Pell [D, 1961-1996]",Democrat
408898,SD,,Yea,"Sen. Larry Pressler [R, 1979-1996]",Republican
408939,AR,,Yea,"Sen. David Pryor [D, 1979-1996]",Democrat
409917,IL,,Yea,"Sen. Paul Simon [D, 1985-1996]",Democrat
409923,WY,,Yea,"Sen. Alan Simpson [R, 1979-1996]",Republican
